Number of Records,Offense,Relationship,Suspect Age At Incident,Suspect Gender,Victim Age At Incident,Victim Gender,Weapon Type,Alcohol,Call Date/Time,Dcf Notified,Drug Related,Id,Incident Number,Mental Health Related,Offense Violation Type Id
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Ex-Spouse -XS,44,Male - M,37,Female - F,,Yes,10/3/2011 11:03:00 AM,0,0,739,11BU023244,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Friend - FR,33,Female - F,32,Female - F,,Yes,10/3/2011 5:00:19 PM,0,0,782,11BU023285,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Friend - FR,32,Female - F,33,Female - F,,Yes,10/3/2011 5:00:19 PM,0,0,795,11BU023285,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Offender - VO,32,Female - F,33,Female - F,,Yes,10/3/2011 5:00:19 PM,0,0,782,11BU023285,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Offender - VO,33,Female - F,32,Female - F,,Yes,10/3/2011 5:00:19 PM,0,0,795,11BU023285,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Same Sex Relationship - HR,21,Female - F,20,Female - F,,Yes,10/5/2011 10:05:02 PM,0,0,978,11BU023473,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Common-Law Spouse - CS,56,Male - M,59,Female - F,,Yes,10/8/2011 8:41:00 PM,0,0,1223,11BU023715,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,25,Male - M,25,Female - F,,1,10/10/2011 2:42:00 AM,0,0,1361,11BU023850,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,27,Male - M,27,Female - F,,Yes,10/10/2011 6:13:28 AM,0,0,1367,11BU023856,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,38,Male - M,22,Female - F,,Yes,10/11/2011 1:02:00 PM,0,0,1509,11BU023991,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,38,Male - M,22,Female - F,,Yes,10/11/2011 1:02:00 PM,0,0,1546,11BU023991,0,2249
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Ex-Spouse -XS,43,Male - M,47,Female - F,,1,10/19/2011 9:08:41 PM,0,0,2314,11BU024768,0,2235
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,19,Male - M,20,Female - F,,Yes,10/24/2011 11:22:51 AM,0,0,2731,11BU025134,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,22,Female - F,26,Male - M,,1,11/8/2011 2:47:00 AM,0,0,3985,11BU026372,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,42,Male - M,34,Female - F,,Yes,11/11/2011 12:26:00 PM,0,0,4224,11BU026604,0,2249
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,42,Male - M,34,Female - F,,Yes,11/11/2011 12:26:00 PM,0,0,5323,11BU026604,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Boyfriend/Girlfriend - BG,42,Male - M,47,Female - F,,1,11/12/2011 10:42:30 PM,0,0,4353,11BU026730,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Ex-Spouse -XS,57,Male - M,49,Female - F,,Yes,11/14/2011 5:42:35 PM,0,0,4518,11BU026884,0,2233
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Boyfriend/Girlfriend - BG,30,Male - M,32,Female - F,,Yes,11/21/2011 8:25:00 PM,0,0,5095,11BU027438,0,2234
1,Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A,Victim was Other Family Member - OF,31,Male - M,35,Male - M,,1,11/24/2011 9:56:00 PM,0,0,5290,11BU027626,0,2234
1,Domestic Assault 13 VSA 1042 13B,Victim was Other Family Member - OF,41,Female - F,42,Female - F,,1,11/24/2011 9:56:00 PM,0,0,5294,11BU027626,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Other Family Member - OF,42,Female - F,41,Female - F,,1,11/24/2011 9:56:00 PM,0,0,5295,11BU027626,0,2233
1,Domestic Assault 13 VSA 1042 13B,Victim was Other Family Member - OF,35,Male - M,31,Male - M,,1,11/24/2011 9:56:00 PM,0,0,5296,11BU027626,0,2233
1,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,Victim was Boyfriend/Girlfriend - BG,35,Male - M,31,Female - F,,1,11/26/2011 3:41:00 AM,0,0,5412,11BU027742,0,2235
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Boyfriend/Girlfriend - BG,35,Male - M,31,Female - F,,1,11/26/2011 3:41:00 AM,0,0,5418,11BU027742,0,2249
1,Domestic Assault 13 VSA 1042 13B,Victim was Ex-Spouse -XS,27,Male - M,27,Female - F,,Yes,11/27/2011 3:19:00 PM,0,0,5557,11BU027869,0,2233
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Ex-Spouse -XS,27,Male - M,27,Female - F,,Yes,11/27/2011 3:19:00 PM,0,0,5542,11BU027869,0,2249
1,Violation Of An Abuse Prevention Order 13 VSA 1030 90Z,Victim was Ex-Spouse -XS,31,Male - M,22,Female - F,,Yes,11/27/2011 5:06:53 PM,0,0,5554,11BU027879,0,2249
